Titre,Company_name,stage-depart,Duree_du_stage,Convention,Types_de_stage,Prime_de_stage,Niveau_etude,Type_de_formation,Descriptif_de_la_mission
Stage en Achats & approvisionnement ( Tanger ),Polydesign Systems,16/11/2020,1 mois,Sans Convention,Stage fonctionnel,Non,Bac+4,Achats & approvisionnement,"
 Equipementier automobile installé à Tanger cherche offre un stage non rémunéré au niveau de la direction Supply Chain (Achats &amp; approvisionnement). 
 Profil: Bac+4 en économie, gestion des entreprises, logistique ou autres. 
   
 Ville: Tanger 
 Disponibilité: Immédiate 
 Nature de stage: Stage fonctionnel non rémunéré  "
Stage en Enseignement ( Casablanca ),La Joconde,09/11/2020,6 mois,Sans Convention,Stage fonctionnel,Selon profil,Bac+3,Enseignement,"
 Notre établissement, groupe scolaire situé à Oulfa,  ouvre ses portes pour les titulaires des diplômes universitaires et/ou des études supérieures pour effectuer des stages de perfectionnement professionnel, d'observation et de formation aux métiers de l'enseignement pour tous les niveau collège et Lycée (Littérature Arabe, Français, Anglais, Histoire géographie, Etudes Islamiques). 
 Nous offrons un stage avec possibilité d’intégration en poste. 
 Profil : Jeune diplômé de l’enseignement supérieur, Professionnel, sérieux, doté d’un bon relationnel, ponctuel … 
 Merci d’envoyer votre candidature en réponse à cette offre  "
Stage en Vente & Commercialisation ( Stage pré embauche) ( Casablanca ),TAMAZDECO,09/11/2020,2 mois,Sans Convention,Premier Emploi,Oui,Bac+3,Vente & Commercialisation,"
 TamazDeco cherche son nouveau <strong>Conseiller(ère) en relation clientèle !</strong> 
 Notre start-up en secteur de l'export et de l'e-commerce  cherche à intégrer un chargé de clientèle à son équipe en pleine croissance 
 Vous souhaitez intégrer une société à l'esprit jeune et dynamique avec un caractère international.  
 Vous souhaitez bénéficier d'une diversité dans vos missions, avoir une vision globale de votre métier et prendre des décisions stratégiques. 
 Vous adorez votre métier et cherchez un stage pré-embauche qui vous fera évoluer en responsabilité et en rémunération. 
 Si tout cela vous intéresse, nous aimerions tellement que vous nous rejoignez dans notre aventure ! 
 <strong>Votre mission :</strong> 
 
 Reception des appels clients et des emails. 
 Écoutez et diagnostiquez leurs besoins et les appareils connectés afin de leur fournir la solution appropriée. 
 Suivi et Reporting des besoins clients. 
 
 <strong>Profil souhaité:</strong> 
 
 
 <strong>Maitrise des langues: Anglais et Français à l'écrit comme à l'oral.</strong> 
 
 <strong>Courtoisie, Sens de l'écoute et du service, Organisation</strong> 
 
 <strong>Poste :</strong> 
 
 Prise de poste : Immédiate 
 Rémunération : Base fixe + primes 
 
    "
Stage en Action Commerciale ( Casablanca ),Benatna,07/11/2020,1 mois,Avec Convention,Stage fonctionnel,Oui,Bac+2,Action Commerciale,"
 Nous cherchons un profil commercial de terrain pour pouvoir démarcher des agences de Location De Voiture afin de leur proposer un partenariat avec une plate-forme d'auto partage.  "
Stage en Commercial business developpeur pour Agence Web ( Rabat ),KLS STUDIO,09/11/2020,3 mois,Avec Convention,Stage fonctionnel,Oui,Bac+2,Commerce & Management,"
 Bonjour à vous, En cette crise sanitaire vous voulez travailler à distance ou au sein de notre bureau, selon vos disponibilités tout en restant libre de vos méthodes. Vous avez des capacités relationnelles et commerciales ainsi que des notions en informatique pour comprendre les attentes des clients d'une agence web. Notre agence web recherche des apporteurs d'affaire. En clair vous nous trouvez des clients et nous vous offrons un pourcentage sur chaque contrat signé dès que nous recevons leur acompte. Notre société étant une agence web renommée travaillant avec des entreprises de different secteurs (Association, Restaurant, Architecte, Entreprises PME..) : gros contrats, grosses commissions !  "
Stage en Comptabilité Audit et Finance ( Mohammédia ),CONSEIL INVEST SERVICES,03/11/2020,4 mois,Avec Convention,Stage de fin d'études,Oui,Bac+3,Comptabilité Audit et Finance,"
 Dans le cadre de notre développement, nous recherchons un futur Collaborateur / une Collaboratrice Comptable, pour la prise en charge de façon autonome et la fidélisation de notre portefeuille clients d'une trentaine de dossiers. 
 Votre mission aura principalement pour objet de : 
 
 la révision et la tenue des comptabilités d'un portefeuille client varié 
 procéder à l'établissement des comptes annuels 
 apporter les conseils nécessaires courants aux clients 
 
 Titulaire à minima d’un Bac+3 (Option Comptabilité), vous justifiez idéalement d'une première expérience. 
 Une expérience dans la relation clients serait un plus.  "
Stage en Développement WEB ( Casablanca ),ivorybroker,02/11/2020,3 mois,Sans Convention,Stage fonctionnel,Oui,Bac+2,Développement WEB,"
 vous maîtrisez le html , css, php, mysql et javascript. la connaissance de framework php est un plus. merci de nous envoyer votre cv  "
Stage en Informatique & Systèmes d'Information ( Paris ),Maxwellconseil,30/10/2020,2 mois,Sans Convention,à distance,Oui,Bac+4,Informatique & Systèmes d'Information,"
 <strong> Contexte &amp; Mission  </strong> 
  Coder est pour vous une passion, et pas seulement une compétence ? Rejoignez-nous ! Au sein d'une Equipe agile dans le périmètre conformité, vous aurez pour mission de concevoir, développer et améliorer les applications et les sites utilisés chaque jour par nos clients et nos collaborateurs. En tant que Développeur full stack - Java/PHP vous interviendrez dans le cadre du projet WeDoo, projet collaboratif qui vise à créer un outil de gestion de cycle de vie des produits de A à Z. Concrètement, vous serez amené(e), sous la supervision de votre tuteur et/ou manager à : 
 
 Aider à la conception et proposer des solutions techniques à mettre en œuvre pour réaliser nos modules web 
 Réaliser l'analyse technique et l'étude détaillée des éléments de solution à votre charge 
 Développer le front et le back, 
 Documenter ce qui est produit 
 Respecter les normes et procédures en vigueur (architecture, sécurité, qualité, documentation) 
 Effectuer auprès du chef de projet un reporting de son activité. 
 
    "
Stage en Morocco Intern ( Rabat ),Instiglio,03/11/2020,6 mois,Sans Convention,Stage de fin d'études,Selon profil,Bac+4,Management & Stratégie,"
 <strong>RESPONSIBILITIES</strong> 
 (Where would you be located) Rabat, Morocco. (The responsibilities) Instiglio offers a unique internship experience at the intersection of the private, public, and social sectors. We provide Interns the opportunity to engage with a fast-paced, result-oriented environment; experience first-hand the fundamentals of a growing global business; and contribute to the momentum of the results movement in international development. As an Intern, you play a key role in client's projects and in further supporting Instiglio's services in RBF and Performance Management. The key responsibilities of the Project Intern will include, but are not limited to 1) Prepare deliverables and high-quality presentations for clients, with the team, 2) Conduct literature reviews and synthesis of the findings, 3) Execute qualitative and quantitative data analysis , 4) Support Business Development initiatives in Morocco, French-speaking Africa, and MENA. (Term) 3 to 6 months internship (possibility of full - time position based on performance). 
 <strong>REQUISITES</strong> 
 <br/>(Education) 
 BAC +4 or BAC +5 in Economics, Statistics, Social Sciences, Business, or related areas. (Experience and Knowledge) Experience in data analysis; experience in quantitative and qualitative research, experience as a research assistant is a plus. 
 (skills) 
 Empathy towards social issues, Passion for social work, Teamwork, Ability to synthesize technical information into simple concepts and analyze information critically. 
 (Language) 
 Full written and oral working proficiency in French (C2) and English (C2), fluency in Arabic (written and oral) is a strong plus;  "
Stage en Commerce & Management ( Casablanca ),Maxwellconseil,30/10/2020,2 mois,Sans Convention,à distance,Non,Bac+2,Développement informatique,"
 Maxwell conseil est la start-up européenne non cotée la plus valorisée. Nous faisons partie des très rares « licornes » européennes (aux côtés de Blablacar, Spotify, Zalando, etc.) à façonner l'industrie du SAAS.<br/>Aujourd’hui, avec plus de 4500 collaborateurs présents dans 30 pays en Europe, notre team a un objectif clair : démarcher et fidéliser TOUS les professionnels du SAAS, en France et dans le monde !<br/><strong>Commercial Sédentaire BtoB (H/F)</strong><br/><strong>Vos missions :</strong><br/>En qualité de commercial BtoB, vous jouez un rôle crucial dans le développement exponentiel de nos services. Pour ce faire :<br/>* Vous développez nos ventes BtoB par téléphone sur toute la France Maroc et pays francophone.<br/>* Vous analysez, identifiez et ciblez nos futurs partenaires BtoB (marchands, concessions automobiles etc.) à partir de fichiers fournis par l’entreprise et créez de nouveaux canaux de vente pour nos clients<br/>* Vous avez pour objectif de démarcher et de convaincre tous les professionnels du secteur en France<br/>* Vous développez un discours commercial permettant de présenter efficacement et de manière pertinente tous les bénéfices de nos services innovants<br/>* Vous piloterez l’intégralité de notre démarche (prospection, négociation, signature, formation des partenaires, fidélisation…).<br/>Votre profil :<br/>* Issu(e) de formation ou d’expérience commerciale, vous avez une très forte orientation client/service et d’excellentes compétences en négociation commerciale<br/>* Vous savez négocier, conclure des ventes et avez un très fort attrait pour la prospection et la culture du résultat<br/>* Vous aimez le challenge, vous surpasser, et vous ne visualisez pas les objectifs comme un cap à atteindre mais à dépasser<br/>* Vous avez une aisance relationnelle incontestable au téléphone, une appétence pour le secteur du SAAS avec un état d'esprit start-up<br/>* Vous rêvez d’une société qui vous permettra d’évoluer en fonction de vos résultats.<br/><br/>Type d'emploi : CDI après une période de stage de 2 mois <br/>Avantages :<br/>* Participation au Transport<br/>* Titre-restaurant<br/>Horaires :<br/>* Du Lundi au Vendredi<br/>* Travail en journée<br/><br/>  "
Stage en IT Technicien H/F ( Tanger ),Novancy One,02/11/2020,Plus de 6 mois,Sans Convention,Premier Emploi,Non,Bac+3,Administration Systèmes & Réseaux,"
<div class=""js_hr_recruitment"" id=""wrap"">
<div>
<section class=""mb32"">
<div class=""container"">
<p class=""mt0 lead""><strong>Duties:</strong> 
 
 
<p class=""lead mt0"">Monitor and ensure uninterrupted and reliable operation for all IT systems. 
 
 
<p class=""lead mt0"">Perform troubleshoot on computer communication systems to identify internetwork operation sources. 
 
 
<p class=""lead mt0"">Manage assembling and configuration of network components and related services. 
 
 
<p class=""lead mt0"">Perform system maintenance to ensure systems and related components integrity. 
 
 
<p class=""lead mt0"">Develop and manage the organization’s intranet site. 
 
 
<p class=""lead mt0"">Perform site surveys and document site network’s configuration and user requirements. 
 
 
<p class=""lead mt0"">Analyze requirements and determine current configuration requirements and prepare specifications to facilitate hardware acquisitions. 
 
 
<p class=""lead mt0"">Design technical packages for site installation and engineering plans and install hardware schedules. 
 
 
<p class=""lead mt0"">Perform configuration and installation of software and hardware product used by internal employees. 
 
 
<p class=""lead mt0"">Provide support to network printers, software, and hardware, and provide adequate training to internal employees to operate various systems and printers. 
 
 
<p class=""lead mt0"">Coordinate with departments and provide consultative services to regional offices of the organization. 
 
 
<p class=""lead mt0"">Evaluate and load all computers with software packages such as operating systems, word processing, or spreadsheet programs. 
 
 
<p class=""lead mt0"">Manage and ensure all computer systems and network components work systematically and efficiently. 
 
 
<p class=""lead mt0"">Maintain computers at conference or seminar locations and conduct various meetings and conventions. 
 
 
<p class=""lead mt0"">Install specific interconnection cables and provide training to site staff to use hardware properly. 
 
 
<p class=""lead mt0""><strong>Qualifications:</strong> 
 
 
<p class=""lead mt0"">Proven experience as a computer technician or similar role 
 
 
<p class=""lead mt0"">Experience with LAN/WAN networks 
 
 
<p class=""lead mt0"">Thorough knowledge of computer systems and IT components 
 
 
<p class=""lead mt0"">Good knowledge of internet security and data privacy principles 
 
 
<p class=""lead mt0"">Excellent troubleshooting skills 
 
 
<p class=""lead mt0"">Very good communication abilities 
 
 
<p class=""lead mt0"">Exceptional organizing and time-management skills 
 
 
<p class=""lead mt0"">BSc/BA in Computer Science, Engineering or relevant field is preferred but not required 
 
 
<p class=""lead mt0"">Relevant certifications (e.g. CompTIA A+) is preferred but not required 
 
 
</div>
</section>
</div>
<div class=""oe_structure""> </div>
</div>
<footer class=""bg-light o_footer"" data-anchor=""true"" id=""bottom"">
<div class=""oe_structure oe_structure_solo"" id=""footer""> </div>
</footer> "
Stage en Marketing Digital ( Tanger ),Novancy One,02/11/2020,Plus de 6 mois,Sans Convention,Premier Emploi,Non,Bac+2,Marketing Digital,"
<p class=""mt0 lead""><strong>Responsibilities</strong> 
 
 
<p class=""lead mt0"">Conduct market research to find answers about consumer requirements, habits, and trends 
 
 
<p class=""lead mt0"">Brainstorm and develop ideas for creative marketing campaigns 
 
 
<p class=""lead mt0"">Assist in outbound or inbound marketing activities by demonstrating expertise in various areas (content development and optimization, advertising, events planning, etc.) 
 
 
<p class=""lead mt0"">Liaise with external vendors to execute promotional events and campaigns 
 
 
<p class=""lead mt0"">Collaborate with marketing and other professionals to coordinate brand awareness and marketing efforts 
 
 
<p class=""lead mt0"">Plan and execute initiatives to reach the target audience through appropriate channels (social media, e-mail, TV, etc.) 
 
 
<p class=""lead mt0"">Assist in analyzing marketing data (campaign results, conversion rates, traffic, etc.) to help shape future marketing strategies 
 
 
<p class=""lead mt0"">Undertake individual tasks of a marketing plan as assigned 
 
 
<p class=""mt0 lead""><strong>Requirements</strong> 
 
 
<p class=""lead mt0"">Thorough understanding of marketing elements (including traditional and digital marketing such as SEO/Social media etc.) and market research methods 
 
 
<p class=""lead mt0"">Demonstrable experience in marketing data analytics and tools 
 
 
<p class=""lead mt0"">Solid computer skills, including MS Office, marketing software (Adobe Creative Suite &amp; CRM) and applications (Web analytics, Google Adwords, etc.) 
 
 
<p class=""lead mt0"">Knowledge of HTML, CSS, and web development tools (e.g. Dreamweaver) desired 
 
 
<p class=""lead mt0"">Well-organized and detail-oriented 
 
 
<p class=""lead mt0"">Exceptional communication and writing skills 
 
 
<p class=""lead mt0"">Commercial awareness partnered with a creative mind 
 
 
<p class=""lead mt0"">BSc/BA in marketing, communications, or equivalent 
 
  "
Stage en Delivery Specialist H/F ( Tanger ),Novancy One,02/11/2020,Plus de 6 mois,Sans Convention,Premier Emploi,Non,Bac+2,Gestion des Ressources Humaines,"
 <strong>Responsibilities for Operations Specialist</strong> 
 
 
 Assist the business operations manager in planning, organizing, and coordinating functions relating to the operation of the business 
 
 
 Maintain an updated client, customer, contractor, and supplier management system 
 
 
 Monitor expenses and budget in line with the finance and accounts department 
 
 
 Provide recommendations and suggestions for improvements in any aspects relating to increased performance 
 
 
 Help with the onboarding process including screen and interviewing candidates 
 
 
 Train new hires as necessary and ensure policies and procedures are followed 
 
 
 Keep up to date with the current market trends and industry forecasts 
 
 
 Coordinates with different departments to achieve optimal work production across the board 
 
 
 <strong>Qualifications for Operations Specialist</strong> 
 
 
 Strong problem-solving and analytical skills 
 
 
 Good social and presentation skills 
 
 
 Excellent oral and written communication skills 
 
 
 High self-initiative with the ability to work well under pressure 
 
 
 Able to work effectively with minimal supervision 
 
 
 Knowledge of handling general office equipment 
 
 
 Proficient in technology especially Microsoft Office applications 
 
 
 Physical capability of standing or sitting for long hours each workday 
 
  "
Stage en Economie et gestion ( Casablanca ),FIDAROC GRANT THORNTON,09/11/2020,3 mois,Sans Convention,Stage fonctionnel,Oui,Bac+2,Economie et gestion,"
 Nous sommes à la recherche d'un(e) stagiaire pour une durée de 3 trois mois pour notre service archive. 
 Concrètement le/la stagiaire sera amené(e) à : 
 - Assister le responsable des archives dans ses missions quotidiennes 
 -Classer les documents : tri, indexation, référencement dans la base de données, réalisation d'instruments de recherche, 
 - Participer à l'inventaire d'archives, 
 - Réaliser des fichiers de suivi sur Excel, 
 - Participer au projet de la numérisation des documents. 
 Le scope pourrait être élargi vers des missions relatives aux achats en fonction du / de la stagiaire.   "
Stage en Marketing Digital ( Casablanca ),UP PRODUCTION,01/11/2020,3 mois,Sans Convention,Stage fonctionnel,Selon profil,Bac+3,Marketing Digital,"
 UP PRODUCTION agence de production et communication audiovisuelle basée à casablanca, centre-ville cherche un(e) community manager stagiaire (h/f).<br/><br/>vous aurez pour mission de gérer et animer des contenus multiplateformes (réseaux sociaux et web), participer à la conception et l’exécution des stratégies de communication sur les réseaux sociaux de nos clients.<br/><br/><strong>missions :</strong> 
 
 animation de communautés et interaction avec ses membres (réponses aux questions, création d’échanges) 
 conversion de ses internautes en relais d’informations 
 rédaction et mise en ligne des contenus 
 veille concurrentielle, commercial, d’e-réputation 
 participe au développement de la stratégie de communication 
 augmenter la présence digitale et accroître la visibilité de la société sur le web 
 
 <strong>profil :</strong><br/>+issu(e) d'une formation supérieure en communication ou marketing, bac+2/ bac+3 / bac+4<br/>+ bonne maîtrise de la langue française et arabe.<br/>+ bonne capacité rédactionnelle.<br/>+ rigoureux(euse) et assidu(e).<br/><br/>stage 3 mois avec possibilité de passer en cdi.  "
Stage en Commerce ( Casablanca ),Agence Stand Maroc Communication,26/10/2020,3 mois,Sans Convention,Premier Emploi,Selon profil,Bac+2,Commerce,"
 Dans le cadre de développement de notre activité, et afin de renforcer notre équipe, nous sommes à la recherche de stagiaire  pour un stage de pré-embauche ou formation.<br/> <br/> Vous aurez les missions suivantes : <br/> <br/> - Négociation avec des partenaires, mise en place et suivi de contrats partenaires<br/> - Représentation de l'entreprise auprès de clients, partenaires, professionnels du secteur.<br/> - Coordination et pilotage de l'ensemble des actions publicitaires et promotionnelles<br/> - Recherche, analyse et suivi des fichiers de prospects<br/> - Veille / benchmark inter secteurs ; collecte d'informations sur les prix, la concurrence, la clientèle (données informatiques, statistiques, études de marché) <br/> - Analyse des résultats des campagnes de promotion<br/> <br/>  
 Profil recherché :<br/> - Etudiant à partir du niveau Bac + 2/4, spécialités commerce / marketing, Ecole ou Université.<br/> - Autonomie, organisation, esprit d’initiative. Dynamisme et aisance relationnelle.<br/> - Maîtrise des outils bureautiques<br/> - Une première expérience dans le monde du web est un plus<br/> <br/> Vous souhaitez faire partie d’une équipe jeune et dynamique. Vous aimez le challenge au quotidien. Alors n’hésitez pas à nous rejoindre.   "
"Stage en Secrétariat, Accueil & Assistance ( Mohammédia )",artlink,01/11/2020,3 mois,Sans Convention,Stage fonctionnel,Non,Bac+2,"Secrétariat, Accueil & Assistance","
 Artlink est une société de création de sites web, spécialisée dans la stratégie web marketing, offre un stage non rémunéré de deux mois pour toute personne fraichement diplômé ou étudiant cherche de l'expérience, profil : bac+2 vos tâches seront: l'accueil, la prise de notes, organisation administrative .... vous êtes sérieuse, dynamique,ponctuelle . prière d'envoyer votre cv+ photo  "
Stage en Journalisme Conception / Rédaction ( Casablanca ),digital  brains,26/10/2020,3 mois,Avec Convention,Stage fonctionnel,Oui,Bac+2,Journalisme,"
 Suite au développement de projets digitaux et e-commerce, notre agence digitale aurait besoin d'un ou d'une stagiaire en conception / rédaction pour un stage de 3 mois (rémunéré), avec a terme, la possibilité d'être embauché (dépendamment du profil).<br/><br/>mission:<br/><br/>-couvrir les supports de communication (publicité, écriture web, marketing direct, techniques promotionnelles, etc).<br/>- inventer et de rédiger des messages publicitaires afin de retenir l'attention du consommateur et d'inciter à l'acte d'achat<br/><br/>compétences et qualités:<br/><br/>-tres bonne maitrise des langues francaise et anglaise<br/>-maitrise pointue des techniques de conception et rédaction<br/>- grand créatif qui possède beaucoup d'imagination.<br/>- possède d'excellentes compétences écrites et orales, une très bonne culture générale, de bonnes capacités d'analyse et de synthèse, le sens de l'humour, de la curiosité…<br/>- dynamique et ayant une bonne résistance au stress ; fonceur et force de proposition, et surtout trouver les bonnes idées et les structurer.<br/>- créer des contenus éditoriaux adaptés au web/seo en utilisant nos outils ;<br/>- rédiger des arguments marketing ou de synthèse d'un contenu éditorial ;<br/>- utiliser un outil cms pour implémenter du contenu de façon optimale.<br/><br/>si votre profil correspond a l’annonce, keep in touch asap!  "
Stage en Comptabilité Audit et Finance ( Casablanca ),advance group,01/11/2020,6 mois,Sans Convention,Stage de fin d'études,Selon profil,Bac+5,Comptabilité Audit et Finance,"
 Nous sommes à la recherche de stagiaires pour un stage de préembauche d'une durée de 6 mois à compter de Novembre 2020, à l'issue duquel, un candidat sera recruté pour faire partie de notre cabinet. 
    "
Stage en Big Data & Cloud Computing ( Rabat ),AIOX Labs,16/11/2020,3 mois,Avec Convention,à distance,Non,Bac+4,Big Data & Cloud Computing,"
 Stage sur l'application des méthodes de Deep learning et Machine Learning au sein d'une équipe de spécialiste Data et IA, dans le domaine de la Santé et de l'analyse des images médicales et échographiques.  "
Stage en Développement informatique ( Casablanca ),FABRILEC,01/02/2021,6 mois,Avec Convention,Stage de fin d'études,Non,Bac+5,Développement informatique,"
 Dans le cadre de développement d’une solution informatique pour la gestion de trésorerie du groupe, vous serez amené à reprendre la solution actuelle développée en VBA (Access) et apporter des améliorations sur la nouvelle solution en termes de robustesse et d’atouts fonctionnels. 
 Vous aurez en charge les missions suivantes : 
 
 Recueillir les besoins des utilisateurs. 
 Proposer des outils permettant d'améliorer l'efficacité de l'analyse des fichiers de données Trésorerie : comprendre les données, s'appuyer sur l'expérience des parties prenantes (RSI, DAF, comptable)  pour proposer des solutions, développer des macros, etc. 
 Proposer une nouvelle application qui permettra de générer exactement les mêmes données : conception de la solution technique, choix du langage, développement, tests et validation. 
 Présentation de la nouvelle application au partie prenante et formation des utilisateurs. 
 
 Ce stage de 6 mois, basé à CASABLANCA , est à pourvoir à partir du mois novembre 2020. 
 Vous êtes lauréat/en formation Bac+5 en école d’ingénieur ou université avec une spécialisation en génie logiciel / développement informatique. 
<h3>Vous avez de solides compétences en programmation informatique (ex : C#, VB.net, ASP, JEE, Python) et idéalement en VBA Access.</h3>
 Vous avez de fortes capacités d'analyse et de synthèse. Vous êtes rigoureux, autonome et avez un bon relationnel.  "
Stage en Marketing & Communication ( Marrakech ),Les Sens De Marrakech,02/11/2020,3 mois,Sans Convention,Stage fonctionnel,Selon profil,Bac+3,Marketing & Communication,"
<div class=""well well-sm m-b-none pre-scrollable"">
<div class=""well well-sm m-b-none pre-scrollable"">
 Le monde de la cosmétique vous intéresse et vous aimez faire partie d’une équipe dynamique ? 
 Vous êtes quelqu'un de sérieux, organisé, rigoureux et engagé ? Vous avez un bon esprit d'équipe et vous êtes force de proposition. 
 Notre entreprise de beauté, soucieuse de mettre en avant la beauté Orientale à travers des produits de soins et des parfums, recherche un(e) stagiaire en marketing opérationnel. 
 En tant que stagiaire marketing vos missions phares seraient d'assister les assistants commerciaux dans les missions suivantes: 
 
 Créer et valoriser l’image de Les Sens de Marrakech 
 Produire certains contenus pour nos différents réseaux sociaux en Français, Arabe et anglais. 
 Assister les commerciaux dans la production web et papier d’éléments commerciaux 
 Organiser et mettre en avant sur documents le marchandising en boutiques. 
 Anticiper et organiser les planning marketing. 
 
 Vous disposez des compétences suivantes ? 
 
 Compétences en photos et en création de messages de communication ; 
 Votre sens de la rédaction est aigu. 
 Esprit créatif, inventif et grande sensibilité artistique 
 Connaissance des différentes formes de communication ; 
 Maitrise du Français et de l’Anglais. 
 
  Les avantages de votre stage   
 
 Participer au développement Marocain et International d’une marque de cosmétique déjà présente dans de nombreux pays. 
 Participer à un environnement de travail dynamique et international. 
 L’opportunité d’apprendre rapidement et monter en compétences. 
 
  Lieu :  Marrakech, Maroc. 
</div>
</div> "
Stage en Marketing & Communication ( Tanger ),SUMINISTROS ARSAM,15/12/2020,4 mois,Sans Convention,Premier Emploi,Selon profil,Bac+4,Marketing & Communication,"
 Dans le cadre du développement de notre entreprise, nous sommes à la recherche d’un(e) chargé(e) de marketing et de communication pour accompagner le développement de nos produits et prendre en charge un certain nombre de missions. 
 <br/>Vous serez amené(e) à remplir les missions suivantes :<br/>- Concevoir le plan d’actions marketing<br/>- Étude de la concurrence et des tendances du marché<br/>- Créer ou mettre à jour, les supports publicitaires<br/>- Développer le programme relationnel, planifier les opérations de fidélisation up/selling cross/selling<br/>- Promouvoir la publicité et piloter l’animation dans nos réseaux sociaux<br/>- Participer à la définition de la stratégie d’influence sur le web, améliorer la visibilité pour toucher les publics cibles<br/>- Mettre en place des outils innovants pour développer nos processus de vente de produits<br/>- Gérer la documentation publicitaire et contractuelle<br/>- Gérer l’e-réputation et assurer le Community Management 
 <br/>PROFIL RECHERCHÉ<br/>Issu(e) d’une formation Bac+4 minimum, vous possédez de solides connaissances en marketing et communication, vous avez le goût pour le développement commercial. 
 Vous êtes intéressé par le secteur industriel et notamment le secteur automobile et par le Web Marketing. 
 Doté(e) d’une solide culture web et d’une fibre créative, vous êtes organisé(e), réactif(ve), rigoureux(se) et êtes force de propositions. Vous justifiez par ailleurs de réelles qualités rédactionnelles. 
 Vous serez au quotidien en contact avec le Directeur Technique et le Product Manager pour assurer la réussite des projets auxquels vous participerez. 
 La connaissance des techniques de conception des formats motion design, canva, vidéo, de logiciels de gestion d'emailings ainsi que des notions de langage web et de Dreamweaver sont un plus. 
 Durée du contrat : 3-4 mois 
 Date de début prévue : 15/12/2020 
 Type d'emploi : Temps plein, Stage Pré-embauche 
 Lieu: 
 
 Tanger 
 
 Langues: 
 
 français, anglais courants et espagnol souhaitable 
  "
"Stage en Industrie, Eléctrique, Mécanique & Éléctromécanique ( Marrakesh )",UNIPEC,26/10/2020,2 mois,Sans Convention,Stage d'observation,Selon profil,Bac+2,"Industrie, Eléctrique, Mécanique & Éléctromécanique","
 Nous sommes à la recherche des stagiaires fraîchement diplômé en Electricité ou Froid et Climatisation pour un stage. 
 
 Connaître les équipements et outils de base employés en électricité 
 Connaître la norme &amp; les consignes de sécurité 
 Lire et exécuter un schéma électrique simple 
 Choisir et préparer l’outillage et l’équipement essentiels à la réalisation des ouvrages étudiés : installations prises de courant, simple et double allumage, va et vient, installation d’un radiateur, délestage, interrupteurs crépusculaires, inter horaire, minuterie &amp; télérupteur,… 
  "
Stage en Marketing & Communication ( Rabat ),Ste Oriigami Privé,26/10/2020,3 mois,Avec Convention,à distance,Non,Bac+3,Marketing & Communication,"
 Stagiaire en Gestion de la Relation Clients : Marketing, communication Externe, Recrutement Clientèle, Réalisation de planning<br/><br/><br/>Stagiaire en Gestion de la Relation Clients : Recrutement Tuteur, Suivi Administratif, Contact partenaires  "
Stage en Infographie ( Rabat ),Ste Oriigami Privé,26/10/2020,3 mois,Avec Convention,à distance,Non,Bac+2,Infographie,"
 Stagiaire en Infographie : Design et création d'affiches pour réseaux sociaux, Co-Gestion Réseaux sociaux   "
Stage en Informatique & Systèmes d'Information ( Agadir ),Wepilot,19/10/2020,6 mois,Sans Convention,Stage fonctionnel,Selon profil,Bac+3,Informatique & Systèmes d'Information,"
 WEPILOT est une société jeune et dynamique spécialisée en développement informatique basée à Agadir.<br/>Dans le cadre de ses activités en matière de solutions informatiques, WEPILOT offre l'opportunité de stage en développement web pour des développeurs débutants passionnés par les nouvelles technologies.<br/><br/>Profil recherché :<br/>Issu(e) d’une formation supérieure Bac +2/+5.<br/>Bonnes capacités d'analyse, de synthèse, d'écoute...<br/><br/>Compétences Techniques :<br/>Une bonne maitrise en : HTML, CSS et JS.<br/>Angular ou VueJS vous offre un grand avantage.<br/>Des connaissances sur JEE/Java platform, Application Serveurs, Bases de données relationnelles.<br/><br/>Rejoindre WEPILOT c'est faire le choix de la performance et de la réussite.  "
